"POS","RIDER","COUNTRY","POINTS","STAGE"
36,"Mattia Cattaneo","ITA",3,15
37,"Alberto Bettiol","ITA",3,15
38,"Nicholas Schultz","AUS",3,15
39,"Benjamin Thomas","FRA",2,15
40,"Nils Politt","GER",2,15
41,"Frederik Frison","BEL",2,15
42,"Enric Mas","ESP",2,15
43,"Alexey Lutsenko","KAZ",2,15
44,"Matteo Jorgenson","USA",2,15
45,"Matis Louvel","FRA",2,15
46,"Patrick Konrad","AUT",1,15
47,"Marc Soler","ESP",1,15
48,"Dylan Van Baarle","NED",1,15
49,"Jakob Fuglsang","DEN",1,15
50,"Alexis Gougeard","FRA",1,15
51,"Mikkel Honore","DEN",1,15
52,"Christopher Juul Jensen","DEN",1,15
1,"Simon Geschke","GER",58,16
2,"Louis Meintjes","RSA",39,16
3,"Neilson Powless","USA",37,16
4,"Jonas Vingegaard","DEN",36,16
5,"Giulio Ciccone","ITA",35,16
6,"Pierre-Roger Latour","FRA",35,16
7,"Thomas Pidcock","GBR",28,16
8,"Anthony Perez","FRA",26,16
9,"Tadej Pogacar","SLO",26,16
10,"Wout Van Aert","BEL",25,16
11,"Chris Froome","GBR",22,16
12,"Bob Jungels","LUX",18,16
13,"Hugo Houle","CAN",16,16
14,"Geraint Thomas","GBR",16,16
15,"Thibaut Pinot","FRA",16,16
16,"Nairo Quintana","COL",15,16
17,"Romain Bardet","FRA",12,16
18,"Matteo Jorgenson","USA",12,16
19,"David Gaudu","FRA",10,16
20,"Dylan Teuns","BEL",9,16
21,"Michael Woods","CAN",9,16
22,"Michael Matthews","AUS",8,16
23,"Sebastian Schönberger","AUT",8,16
24,"Kobe Goossens","BEL",8,16
25,"Nelson Oliveira","POR",8,16
26,"Mads Pedersen","DEN",7,16
27,"Carlos Verona","ESP",7,16
28,"Ion Izagirre","ESP",7,16
29,"Luis Leon Sanchez","ESP",6,16
30,"Adam Yates","GBR",6,16
31,"Brandon McNulty","USA",6,16
32,"Quinn Simmons","USA",5,16
33,"Jonathan Castroviejo","ESP",5,16
34,"Stefan Küng","SWI",5,16
35,"Filippo Ganna","ITA",4,16
36,"Valentin Madouas","FRA",4,16
37,"Pierre Rolland","FRA",3,16
38,"Mattia Cattaneo","ITA",3,16
39,"Alexis Gougeard","FRA",3,16
40,"Nicholas Schultz","AUS",3,16
41,"Alberto Bettiol","ITA",3,16
42,"Benjamin Thomas","FRA",2,16
43,"Nils Politt","GER",2,16
44,"Stefan Bissegger","SWI",2,16
45,"Frederik Frison","BEL",2,16
46,"Enric Mas","ESP",2,16
47,"Alexey Lutsenko","KAZ",2,16
48,"Damiano Caruso","ITA",2,16
49,"Matis Louvel","FRA",2,16
50,"Patrick Konrad","AUT",1,16
51,"Michael Storer","AUS",1,16
52,"Dylan Van Baarle","NED",1,16
53,"Mikkel Honore","DEN",1,16
54,"Christopher Juul Jensen","DEN",1,16
1,"Simon Geschke","GER",64,17
2,"Jonas Vingegaard","DEN",52,17
3,"Tadej Pogacar","SLO",46,17
4,"Giulio Ciccone","ITA",41,17
5,"Louis Meintjes","RSA",39,17
6,"Neilson Powless","USA",37,17
7,"Pierre-Roger Latour","FRA",35,17
8,"Thibaut Pinot","FRA",31,17
9,"Thomas Pidcock","GBR",28,17
10,"Anthony Perez","FRA",26,17
11,"Wout Van Aert","BEL",25,17
12,"Geraint Thomas","GBR",22,17
13,"Chris Froome","GBR",22,17
14,"Alexey Lutsenko","KAZ",19,17
15,"Bob Jungels","LUX",18,17
16,"Brandon McNulty","USA",18,17
17,"Hugo Houle","CAN",16,17
18,"Nairo Quintana","COL",15,17
19,"Romain Bardet","FRA",13,17
20,"Matteo Jorgenson","USA",12,17
21,"David Gaudu","FRA",10,17
22,"Dylan Teuns","BEL",9,17
23,"Michael Woods","CAN",9,17
24,"Michael Matthews","AUS",8,17
25,"Sebastian Schönberger","AUT",8,17
26,"Kobe Goossens","BEL",8,17
27,"Nelson Oliveira","POR",8,17
28,"Mads Pedersen","DEN",7,17
29,"Quinn Simmons","USA",7,17
30,"Carlos Verona","ESP",7,17
31,"Ion Izagirre","ESP",7,17
32,"Luis Leon Sanchez","ESP",6,17
33,"Adam Yates","GBR",6,17
34,"Jonathan Castroviejo","ESP",5,17
35,"Stefan Küng","SWI",5,17
36,"Filippo Ganna","ITA",4,17
37,"Valentin Madouas","FRA",4,17
38,"Pierre Rolland","FRA",3,17
39,"Mattia Cattaneo","ITA",3,17
40,"Alexis Gougeard","FRA",3,17
41,"Nicholas Schultz","AUS",3,17
42,"Alberto Bettiol","ITA",3,17
43,"Benjamin Thomas","FRA",2,17
44,"Nils Politt","GER",2,17
45,"Stefan Bissegger","SWI",2,17
46,"Frederik Frison","BEL",2,17
47,"Enric Mas","ESP",2,17
48,"Damiano Caruso","ITA",2,17
49,"Matis Louvel","FRA",2,17
50,"Patrick Konrad","AUT",1,17
51,"Sepp Kuss","USA",1,17
52,"Michael Storer","AUS",1,17
53,"Chris Hamilton","AUS",1,17
54,"Dylan Van Baarle","NED",1,17
55,"Pierre-Luc Perichon","FRA",1,17
56,"Mikkel Honore","DEN",1,17
57,"Christopher Juul Jensen","DEN",1,17
1,"Jonas Vingegaard","DEN",72,18
2,"Simon Geschke","GER",64,18
3,"Giulio Ciccone","ITA",61,18
4,"Tadej Pogacar","SLO",61,18
5,"Wout Van Aert","BEL",59,18
6,"Thibaut Pinot","FRA",52,18
7,"Louis Meintjes","RSA",39,18
8,"Neilson Powless","USA",37,18
9,"Pierre-Roger Latour","FRA",35,18
