"POS","RIDER","COUNTRY","POINTS","STAGE"
17,"Geraint Thomas","GBR",47,11
18,"Nairo Quintana","COL",46,11
19,"Caleb Ewan","AUS",45,11
20,"Bob Jungels","LUX",43,11
21,"Primoz Roglic","SLO",43,11
22,"Lennard Kämna","GER",43,11
23,"Luis Leon Sanchez","ESP",43,11
24,"Benjamin Thomas","FRA",42,11
25,"Danny Van Poppel","NED",38,11
26,"Romain Bardet","FRA",37,11
27,"Alberto Bettiol","ITA",36,11
28,"Fred Wright","GBR",35,11
29,"Adam Yates","GBR",35,11
30,"Nicholas Schultz","AUS",33,11
31,"Neilson Powless","USA",31,11
32,"Thomas Pidcock","GBR",30,11
33,"Matteo Jorgenson","USA",30,11
34,"Alexander Kristoff","NOR",30,11
35,"Dylan Teuns","BEL",29,11
36,"Luca Mozzato","ITA",29,11
37,"Enric Mas","ESP",27,11
38,"Simon Geschke","GER",27,11
39,"Nils Politt","GER",27,11
40,"Hugo Hofstetter","FRA",27,11
41,"Sven Erik Bystrøm","NOR",24,11
42,"Alberto Dainese","ITA",24,11
43,"Jérémy Lecroq","FRA",24,11
44,"Yves Lampaert","BEL",22,11
45,"Jasper Stuyven","BEL",21,11
46,"Anthony Perez","FRA",20,11
47,"Dylan Van Baarle","NED",20,11
48,"Brent Van Moer","BEL",20,11
49,"Steven Kruijswijk","NED",19,11
50,"Alexander Vlasov","RUS",18,11
51,"Pierre-Roger Latour","FRA",18,11
52,"Andreas Lorentz Kron","DEN",18,11
53,"Jakob Fuglsang","DEN",17,11
54,"Jonathan Castroviejo","ESP",17,11
55,"Frederik Frison","BEL",17,11
56,"Patrick Konrad","AUT",16,11
57,"Daniel Martinez","COL",16,11
58,"Thibaut Pinot","FRA",15,11
59,"Carlos Verona","ESP",15,11
60,"Georg Zimmermann","GER",15,11
61,"Mattia Cattaneo","ITA",15,11
62,"Stan Dewulf","BEL",15,11
63,"Jack Bauer","NZL",15,11
64,"Cyril Barthe","FRA",15,11
65,"Hugo Houle","CAN",13,11
66,"Imanol Erviti","ESP",13,11
67,"Alexis Gougeard","FRA",13,11
68,"Filippo Ganna","ITA",13,11
69,"Maximilian Walscheid","GER",12,11
70,"Mikkel Bjerg","DEN",12,11
71,"Andreas Leknessund","NOR",11,11
72,"Maximilian Schachmann","GER",11,11
73,"Jan Tratnik","SLO",11,11
74,"Benoit Cosnefroy","FRA",11,11
75,"Tiesj Benoot","BEL",10,11
76,"Marc Soler","ESP",10,11
77,"Giulio Ciccone","ITA",10,11
78,"Silvan Dillier","SWI",9,11
79,"Alexey Lutsenko","KAZ",8,11
80,"Guy Niv","ISR",8,11
81,"Adrien Petit","FRA",8,11
82,"Reinardt Janse Van Rensburg","RSA",8,11
83,"Sepp Kuss","USA",7,11
84,"Bauke Mollema","NED",7,11
85,"Stefan Küng","SWI",7,11
86,"Nathan van Hooydonck","BEL",7,11
87,"Warren Barguil","FRA",6,11
88,"Rigoberto Uran","COL",6,11
89,"Ion Izagirre","ESP",6,11
90,"Andrea Pasqualon","ITA",6,11
91,"Jonas Rutsch","GER",6,11
92,"Florian Vermeersch","BEL",6,11
93,"Christopher Juul Jensen","DEN",6,11
94,"Damiano Caruso","ITA",5,11
95,"Simone Velasco","ITA",5,11
96,"Kobe Goossens","BEL",5,11
97,"Marco Haller","AUT",5,11
98,"Guillaume Van Keirsbulck","BEL",5,11
99,"Pierre-Luc Perichon","FRA",4,11
100,"Tim Wellens","BEL",4,11
101,"Anthony Turgis","FRA",4,11
102,"Rafal Majka","POL",3,11
103,"Kévin Geniets","LUX",3,11
104,"Joseph Lloyd Dombrowski","USA",3,11
105,"Connor Swift","GBR",3,11
106,"Owain Doull","GBR",3,11
107,"Cyril Lemoine","FRA",3,11
108,"Valentin Madouas","FRA",2,11
109,"Alexander Krieger","GER",2,11
110,"Maciej Bodnar","POL",2,11
111,"Brandon McNulty","USA",1,11
112,"Nelson Oliveira","POR",1,11
113,"Florian Senechal","FRA",1,11
114,"Marc Hirschi","SWI",1,11
1,"Wout Van Aert","BEL",313,12
2,"Tadej Pogacar","SLO",159,12
3,"Fabio Jakobsen","NED",155,12
4,"Magnus Cort Nielsen","DEN",129,12
5,"Jasper Philipsen","BEL",116,12
6,"Christophe Laporte","FRA",114,12
7,"Jonas Vingegaard","DEN",96,12
8,"Peter Sagan","SVK",86,12
9,"Simon Clarke","AUS",72,12
10,"Michael Matthews","AUS",68,12
11,"Mads Pedersen","DEN",62,12
12,"David Gaudu","FRA",61,12
13,"Dylan Groenewegen","NED",60,12
14,"Geraint Thomas","GBR",56,12
15,"Neilson Powless","USA",55,12
16,"Edvald Boasson Hagen","NOR",52,12
17,"Michael Morkov","DEN",51,12
18,"Thomas Pidcock","GBR",50,12
19,"Taco Van Der Hoorn","NED",50,12
20,"Nairo Quintana","COL",48,12
21,"Caleb Ewan","AUS",45,12
22,"Bob Jungels","LUX",43,12
23,"Primoz Roglic","SLO",43,12
24,"Luis Leon Sanchez","ESP",43,12
25,"Lennard Kämna","GER",43,12
26,"Romain Bardet","FRA",42,12
27,"Benjamin Thomas","FRA",42,12
28,"Adam Yates","GBR",39,12
29,"Matteo Jorgenson","USA",38,12
30,"Danny Van Poppel","NED",38,12
31,"Alberto Bettiol","ITA",36,12
32,"Fred Wright","GBR",35,12
33,"Enric Mas","ESP",35,12
34,"Nicholas Schultz","AUS",33,12
35,"Anthony Perez","FRA",30,12
36,"Alexander Kristoff","NOR",30,12
37,"Dylan Teuns","BEL",29,12
38,"Luca Mozzato","ITA",29,12
39,"Simon Geschke","GER",27,12
40,"Nils Politt","GER",27,12
41,"Hugo Hofstetter","FRA",27,12
42,"Kobe Goossens","BEL",25,12
43,"Sven Erik Bystrøm","NOR",24,12
44,"Alberto Dainese","ITA",24,12
45,"Jérémy Lecroq","FRA",24,12
46,"Yves Lampaert","BEL",22,12
47,"Pierre-Roger Latour","FRA",22,12
48,"Chris Froome","GBR",21,12
49,"Jasper Stuyven","BEL",21,12
