"POS","RIDER","COUNTRY","POINTS","STAGE"
82,"Sebastian Schönberger","AUT",13,15
83,"Imanol Erviti","ESP",13,15
84,"Florian Vermeersch","BEL",13,15
85,"Maximilian Walscheid","GER",12,15
86,"Andreas Leknessund","NOR",11,15
87,"Maximilian Schachmann","GER",11,15
88,"Jan Tratnik","SLO",11,15
89,"Tiesj Benoot","BEL",10,15
90,"Tony Gallopin","FRA",9,15
91,"Silvan Dillier","SWI",9,15
92,"Marco Haller","AUT",9,15
93,"Guillaume Van Keirsbulck","BEL",9,15
94,"Alexey Lutsenko","KAZ",8,15
95,"Guy Niv","ISR",8,15
96,"Adrien Petit","FRA",8,15
97,"Reinardt Janse Van Rensburg","RSA",8,15
98,"Rafal Majka","POL",7,15
99,"Bauke Mollema","NED",7,15
100,"Nathan van Hooydonck","BEL",7,15
101,"Ion Izagirre","ESP",6,15
102,"Jonas Rutsch","GER",6,15
103,"Damiano Caruso","ITA",5,15
104,"Simone Velasco","ITA",5,15
105,"Philippe Gilbert","BEL",5,15
106,"Brandon McNulty","USA",4,15
107,"Michael Woods","CAN",4,15
108,"Pierre-Luc Perichon","FRA",4,15
109,"Tim Wellens","BEL",4,15
110,"Anthony Turgis","FRA",4,15
111,"Gregor Mühlberger","AUT",3,15
112,"Joseph Lloyd Dombrowski","USA",3,15
113,"Kévin Geniets","LUX",3,15
114,"Connor Swift","GBR",3,15
115,"Owain Doull","GBR",3,15
116,"Cyril Lemoine","FRA",3,15
117,"Valentin Madouas","FRA",2,15
118,"Franck Bonnamour","FRA",2,15
119,"Quinn Simmons","USA",2,15
120,"Amaury Capiot","BEL",2,15
121,"Alexander Krieger","GER",2,15
122,"Maciej Bodnar","POL",2,15
123,"Marc Hirschi","SWI",1,15
1,"Wout Van Aert","BEL",399,16
2,"Tadej Pogacar","SLO",182,16
3,"Jasper Philipsen","BEL",176,16
4,"Mads Pedersen","DEN",158,16
5,"Fabio Jakobsen","NED",155,16
6,"Christophe Laporte","FRA",121,16
7,"Michael Matthews","AUS",118,16
8,"Peter Sagan","SVK",104,16
9,"Jonas Vingegaard","DEN",98,16
10,"Fred Wright","GBR",83,16
11,"Hugo Houle","CAN",82,16
12,"Matteo Jorgenson","USA",82,16
13,"Dylan Groenewegen","NED",74,16
14,"Neilson Powless","USA",73,16
15,"Alberto Bettiol","ITA",61,16
16,"David Gaudu","FRA",61,16
17,"Luis Leon Sanchez","ESP",59,16
18,"Geraint Thomas","GBR",56,16
19,"Danny Van Poppel","NED",54,16
20,"Edvald Boasson Hagen","NOR",52,16
21,"Simon Geschke","GER",51,16
22,"Thomas Pidcock","GBR",50,16
23,"Taco Van Der Hoorn","NED",50,16
24,"Nairo Quintana","COL",48,16
25,"Stefan Küng","SWI",48,16
26,"Thibaut Pinot","FRA",47,16
27,"Luca Mozzato","ITA",47,16
28,"Nils Politt","GER",44,16
29,"Filippo Ganna","ITA",44,16
30,"Bob Jungels","LUX",43,16
31,"Romain Bardet","FRA",42,16
32,"Dylan Teuns","BEL",42,16
33,"Benjamin Thomas","FRA",42,16
34,"Adam Yates","GBR",39,16
35,"Alexander Kristoff","NOR",37,16
36,"Enric Mas","ESP",35,16
37,"Caleb Ewan","AUS",35,16
38,"Alexander Vlasov","RUS",33,16
39,"Patrick Konrad","AUT",33,16
40,"Nicholas Schultz","AUS",33,16
41,"Mikkel Honore","DEN",32,16
42,"Louis Meintjes","RSA",32,16
43,"Andreas Lorentz Kron","DEN",32,16
44,"Anthony Perez","FRA",30,16
45,"Alberto Dainese","ITA",30,16
46,"Hugo Hofstetter","FRA",29,16
47,"Felix Grossschartner","AUT",28,16
48,"Valentin Madouas","FRA",27,16
49,"Michael Storer","AUS",27,16
50,"Michael Woods","CAN",26,16
51,"Jasper Stuyven","BEL",26,16
52,"Kobe Goossens","BEL",25,16
53,"Alexis Gougeard","FRA",25,16
54,"Sven Erik Bystrøm","NOR",24,16
55,"Jérémy Lecroq","FRA",24,16
56,"Florian Senechal","FRA",23,16
57,"Brent Van Moer","BEL",23,16
58,"Yves Lampaert","BEL",22,16
59,"Pierre-Roger Latour","FRA",22,16
60,"Chris Froome","GBR",21,16
61,"Andrea Pasqualon","ITA",21,16
62,"Nils Eekhoff","NED",20,16
63,"Dylan Van Baarle","NED",20,16
64,"Philippe Gilbert","BEL",20,16
65,"Nathan van Hooydonck","BEL",20,16
66,"Frederik Frison","BEL",19,16
67,"Daniel Martinez","COL",18,16
68,"Rigoberto Uran","COL",18,16
69,"Tony Gallopin","FRA",18,16
70,"Nelson Oliveira","POR",18,16
71,"Jonathan Castroviejo","ESP",17,16
72,"Giulio Ciccone","ITA",17,16
73,"Krists Neilands","LAT",17,16
74,"Christopher Juul Jensen","DEN",17,16
75,"Benoit Cosnefroy","FRA",16,16
76,"Carlos Verona","ESP",15,16
77,"Georg Zimmermann","GER",15,16
78,"Stan Dewulf","BEL",15,16
79,"Matis Louvel","FRA",15,16
80,"Cyril Barthe","FRA",15,16
81,"Mattia Cattaneo","ITA",15,16
82,"Jack Bauer","NZL",15,16
83,"Sepp Kuss","USA",14,16
84,"Edward Planckaert","BEL",14,16
85,"Mikkel Bjerg","DEN",14,16
86,"Sebastian Schönberger","AUT",13,16
87,"Imanol Erviti","ESP",13,16
88,"Florian Vermeersch","BEL",13,16
89,"Damiano Caruso","ITA",12,16
90,"Tim Wellens","BEL",12,16
91,"Andreas Leknessund","NOR",11,16
92,"Maxime Bouet","FRA",11,16
93,"Maximilian Schachmann","GER",11,16
94,"Jan Tratnik","SLO",11,16
95,"Tiesj Benoot","BEL",10,16
96,"Silvan Dillier","SWI",9,16
97,"Marco Haller","AUT",9,16
98,"Guillaume Van Keirsbulck","BEL",9,16
99,"Alexey Lutsenko","KAZ",8,16
100,"Guy Niv","ISR",8,16
101,"Adrien Petit","FRA",8,16
102,"Reinardt Janse Van Rensburg","RSA",8,16
103,"Rafal Majka","POL",7,16
104,"Brandon McNulty","USA",7,16
105,"Bauke Mollema","NED",7,16
106,"Ion Izagirre","ESP",6,16
107,"Jonas Rutsch","GER",6,16
108,"Simone Velasco","ITA",5,16
109,"Pierre-Luc Perichon","FRA",4,16
110,"Mathieu Burgaudeau","FRA",4,16
111,"Anthony Turgis","FRA",4,16
112,"Gregor Mühlberger","AUT",3,16
113,"Kévin Geniets","LUX",3,16
114,"Joseph Lloyd Dombrowski","USA",3,16
115,"Connor Swift","GBR",3,16
116,"Stefan Bissegger","SWI",3,16
117,"Owain Doull","GBR",3,16
118,"Cyril Lemoine","FRA",3,16
119,"Gorka Izagirre","ESP",2,16
120,"Franck Bonnamour","FRA",2,16
121,"Quinn Simmons","USA",2,16
122,"Amaury Capiot","BEL",2,16
123,"Alexander Krieger","GER",2,16
124,"Maciej Bodnar","POL",2,16
125,"Marc Hirschi","SWI",1,16
1,"Wout Van Aert","BEL",416,17
2,"Tadej Pogacar","SLO",202,17
3,"Jasper Philipsen","BEL",196,17
4,"Mads Pedersen","DEN",158,17
5,"Fabio Jakobsen","NED",155,17
6,"Michael Matthews","AUS",133,17
7,"Christophe Laporte","FRA",121,17
8,"Jonas Vingegaard","DEN",115,17
9,"Peter Sagan","SVK",104,17
10,"Fred Wright","GBR",83,17
11,"Hugo Houle","CAN",82,17
12,"Matteo Jorgenson","USA",82,17
13,"Dylan Groenewegen","NED",74,17
14,"Neilson Powless","USA",73,17
15,"David Gaudu","FRA",70,17
16,"Geraint Thomas","GBR",69,17
17,"Alberto Bettiol","ITA",66,17
18,"Simon Geschke","GER",60,17
19,"Luis Leon Sanchez","ESP",59,17
20,"Nairo Quintana","COL",54,17
21,"Danny Van Poppel","NED",54,17
22,"Romain Bardet","FRA",52,17
23,"Edvald Boasson Hagen","NOR",52,17
24,"Filippo Ganna","ITA",52,17
25,"Thomas Pidcock","GBR",51,17
26,"Nicholas Schultz","AUS",51,17
27,"Taco Van Der Hoorn","NED",50,17
28,"Stefan Küng","SWI",48,17
29,"Thibaut Pinot","FRA",47,17
30,"Luca Mozzato","ITA",47,17
31,"Benjamin Thomas","FRA",45,17
32,"Bob Jungels","LUX",44,17
33,"Nils Politt","GER",44,17
34,"Dylan Teuns","BEL",42,17
35,"Alexander Vlasov","RUS",41,17
36,"Louis Meintjes","RSA",39,17
37,"Adam Yates","GBR",39,17
38,"Enric Mas","ESP",39,17
39,"Alexander Kristoff","NOR",37,17
40,"Caleb Ewan","AUS",35,17
41,"Patrick Konrad","AUT",33,17
42,"Mikkel Honore","DEN",32,17
43,"Andreas Lorentz Kron","DEN",32,17
44,"Anthony Perez","FRA",30,17
45,"Valentin Madouas","FRA",30,17
46,"Alberto Dainese","ITA",30,17
47,"Hugo Hofstetter","FRA",29,17
48,"Felix Grossschartner","AUT",28,17
49,"Michael Storer","AUS",27,17
50,"Michael Woods","CAN",26,17
51,"Jasper Stuyven","BEL",26,17
52,"Kobe Goossens","BEL",25,17
53,"Alexis Gougeard","FRA",25,17
54,"Sven Erik Bystrøm","NOR",24,17
55,"Jérémy Lecroq","FRA",24,17
56,"Florian Senechal","FRA",23,17
57,"Brent Van Moer","BEL",23,17
58,"Yves Lampaert","BEL",22,17
59,"Brandon McNulty","USA",22,17
60,"Pierre-Roger Latour","FRA",22,17
61,"Chris Froome","GBR",21,17
62,"Andrea Pasqualon","ITA",21,17
63,"Nils Eekhoff","NED",20,17
64,"Dylan Van Baarle","NED",20,17
65,"Philippe Gilbert","BEL",20,17
66,"Nathan van Hooydonck","BEL",20,17
67,"Edward Planckaert","BEL",20,17
68,"Alexey Lutsenko","KAZ",19,17
69,"Giulio Ciccone","ITA",19,17
70,"Frederik Frison","BEL",19,17
71,"Rigoberto Uran","COL",18,17
72,"Daniel Martinez","COL",18,17
73,"Tony Gallopin","FRA",18,17
74,"Nelson Oliveira","POR",18,17
75,"Georg Zimmermann","GER",17,17
76,"Jonathan Castroviejo","ESP",17,17
77,"Krists Neilands","LAT",17,17
78,"Christopher Juul Jensen","DEN",17,17
79,"Benoit Cosnefroy","FRA",16,17
80,"Carlos Verona","ESP",15,17
81,"Stan Dewulf","BEL",15,17
82,"Matis Louvel","FRA",15,17
83,"Cyril Barthe","FRA",15,17
84,"Mattia Cattaneo","ITA",15,17
85,"Jack Bauer","NZL",15,17
86,"Sepp Kuss","USA",14,17
87,"Mikkel Bjerg","DEN",14,17
88,"Gregor Mühlberger","AUT",13,17
89,"Sebastian Schönberger","AUT",13,17
90,"Imanol Erviti","ESP",13,17
91,"Alexander Krieger","GER",13,17
92,"Florian Vermeersch","BEL",13,17
93,"Damiano Caruso","ITA",12,17
94,"Guy Niv","ISR",12,17
95,"Andreas Leknessund","NOR",11,17
96,"Maxime Bouet","FRA",11,17
97,"Maximilian Schachmann","GER",11,17
98,"Jan Tratnik","SLO",11,17
99,"Tiesj Benoot","BEL",10,17
100,"Gorka Izagirre","ESP",9,17
101,"Silvan Dillier","SWI",9,17
102,"Marco Haller","AUT",9,17
103,"Guillaume Van Keirsbulck","BEL",9,17
104,"Adrien Petit","FRA",8,17
105,"Reinardt Janse Van Rensburg","RSA",8,17
106,"Bauke Mollema","NED",7,17
107,"Ion Izagirre","ESP",6,17
108,"Jonas Rutsch","GER",6,17
109,"Simone Velasco","ITA",5,17
110,"Pierre-Luc Perichon","FRA",4,17
111,"Mathieu Burgaudeau","FRA",4,17
112,"Anthony Turgis","FRA",4,17
113,"Joseph Lloyd Dombrowski","USA",3,17
114,"Kévin Geniets","LUX",3,17
115,"Connor Swift","GBR",3,17
116,"Stefan Bissegger","SWI",3,17
117,"Owain Doull","GBR",3,17
118,"Cyril Lemoine","FRA",3,17
119,"Franck Bonnamour","FRA",2,17
120,"Quinn Simmons","USA",2,17
121,"Amaury Capiot","BEL",2,17
122,"Maciej Bodnar","POL",2,17
123,"Marc Hirschi","SWI",1,17
1,"Wout Van Aert","BEL",451,18
2,"Tadej Pogacar","SLO",219,18
3,"Jasper Philipsen","BEL",196,18
4,"Mads Pedersen","DEN",158,18
5,"Fabio Jakobsen","NED",155,18
6,"Jonas Vingegaard","DEN",135,18
7,"Michael Matthews","AUS",133,18
8,"Christophe Laporte","FRA",121,18
9,"Peter Sagan","SVK",104,18
10,"Fred Wright","GBR",83,18
11,"Hugo Houle","CAN",82,18
12,"Geraint Thomas","GBR",82,18
13,"Matteo Jorgenson","USA",82,18
14,"David Gaudu","FRA",81,18
15,"Dylan Groenewegen","NED",74,18
16,"Neilson Powless","USA",73,18
17,"Alberto Bettiol","ITA",66,18
18,"Simon Geschke","GER",60,18
19,"Luis Leon Sanchez","ESP",59,18
20,"Nils Politt","GER",59,18
21,"Danny Van Poppel","NED",54,18
22,"Nairo Quintana","COL",53,18
23,"Thibaut Pinot","FRA",53,18
24,"Romain Bardet","FRA",52,18
25,"Benjamin Thomas","FRA",52,18
26,"Edvald Boasson Hagen","NOR",52,18
27,"Filippo Ganna","ITA",52,18
28,"Thomas Pidcock","GBR",51,18
29,"Nicholas Schultz","AUS",51,18
30,"Taco Van Der Hoorn","NED",50,18
31,"Alexander Vlasov","RUS",48,18
32,"Stefan Küng","SWI",48,18
33,"Luca Mozzato","ITA",47,18
34,"Bob Jungels","LUX",46,18
35,"Louis Meintjes","RSA",44,18
36,"Dylan Teuns","BEL",42,18
37,"Andreas Lorentz Kron","DEN",42,18
38,"Adam Yates","GBR",41,18
39,"Enric Mas","ESP",39,18
40,"Alexander Kristoff","NOR",37,18
41,"Caleb Ewan","AUS",35,18
42,"Patrick Konrad","AUT",33,18
43,"Mikkel Honore","DEN",32,18
44,"Valentin Madouas","FRA",31,18
45,"Anthony Perez","FRA",30,18
46,"Alberto Dainese","ITA",30,18
47,"Alexey Lutsenko","KAZ",29,18
48,"Hugo Hofstetter","FRA",29,18
49,"Felix Grossschartner","AUT",28,18
50,"Daniel Martinez","COL",27,18
51,"Michael Storer","AUS",27,18
52,"Giulio Ciccone","ITA",27,18
53,"Michael Woods","CAN",26,18
54,"Stan Dewulf","BEL",26,18
55,"Jasper Stuyven","BEL",26,18
56,"Kobe Goossens","BEL",25,18
57,"Alexis Gougeard","FRA",25,18
58,"Sven Erik Bystrøm","NOR",24,18
59,"Jérémy Lecroq","FRA",24,18
60,"Dylan Van Baarle","NED",23,18
61,"Florian Senechal","FRA",23,18
62,"Brent Van Moer","BEL",23,18
63,"Yves Lampaert","BEL",22,18
64,"Sepp Kuss","USA",22,18
65,"Brandon McNulty","USA",22,18
66,"Pierre-Roger Latour","FRA",22,18
67,"Andrea Pasqualon","ITA",21,18
68,"Nils Eekhoff","NED",20,18
69,"Philippe Gilbert","BEL",20,18
70,"Nathan van Hooydonck","BEL",20,18
71,"Edward Planckaert","BEL",20,18
72,"Rigoberto Uran","COL",19,18
73,"Carlos Verona","ESP",19,18
74,"Frederik Frison","BEL",19,18
75,"Tony Gallopin","FRA",18,18
76,"Nelson Oliveira","POR",18,18
77,"Marco Haller","AUT",18,18
78,"Georg Zimmermann","GER",17,18
79,"Jonathan Castroviejo","ESP",17,18
80,"Krists Neilands","LAT",17,18
81,"Matej Mohoric","SLO",17,18
82,"Christopher Juul Jensen","DEN",17,18
83,"Tiesj Benoot","BEL",16,18
84,"Benoit Cosnefroy","FRA",16,18
85,"Maximilian Schachmann","GER",15,18
86,"Matis Louvel","FRA",15,18
87,"Cyril Barthe","FRA",15,18
88,"Amaury Capiot","BEL",15,18
89,"Mattia Cattaneo","ITA",15,18
90,"Jack Bauer","NZL",15,18
91,"Mikkel Bjerg","DEN",14,18
92,"Gregor Mühlberger","AUT",13,18
93,"Sebastian Schönberger","AUT",13,18
94,"Alexander Krieger","GER",13,18
95,"Florian Vermeersch","BEL",13,18
96,"Guy Niv","ISR",12,18
97,"Andreas Leknessund","NOR",11,18
98,"Maxime Bouet","FRA",11,18
99,"Jan Tratnik","SLO",11,18
100,"Gorka Izagirre","ESP",9,18
101,"Silvan Dillier","SWI",9,18
102,"Guillaume Van Keirsbulck","BEL",9,18
103,"Adrien Petit","FRA",8,18
104,"Reinardt Janse Van Rensburg","RSA",8,18
105,"Bauke Mollema","NED",7,18
106,"Franck Bonnamour","FRA",7,18
107,"Ion Izagirre","ESP",6,18
108,"Jonas Rutsch","GER",6,18
109,"Simone Velasco","ITA",5,18
110,"Pierre-Luc Perichon","FRA",4,18
111,"Mathieu Burgaudeau","FRA",4,18
112,"Anthony Turgis","FRA",4,18
113,"Joseph Lloyd Dombrowski","USA",3,18
114,"Kévin Geniets","LUX",3,18
115,"Connor Swift","GBR",3,18
116,"Stefan Bissegger","SWI",3,18
117,"Owain Doull","GBR",3,18
118,"Cyril Lemoine","FRA",3,18
119,"Quinn Simmons","USA",2,18
120,"Maciej Bodnar","POL",2,18
121,"Marc Hirschi","SWI",1,18
1,"Wout Van Aert","BEL",460,19
2,"Jasper Philipsen","BEL",236,19
3,"Tadej Pogacar","SLO",235,19
4,"Christophe Laporte","FRA",171,19
5,"Mads Pedersen","DEN",158,19
6,"Fabio Jakobsen","NED",155,19
7,"Jonas Vingegaard","DEN",140,19
8,"Michael Matthews","AUS",133,19
9,"Peter Sagan","SVK",104,19
10,"Dylan Groenewegen","NED",86,19
11,"Geraint Thomas","GBR",85,19
12,"Fred Wright","GBR",83,19
13,"Hugo Houle","CAN",82,19
14,"Matteo Jorgenson","USA",82,19
15,"David Gaudu","FRA",81,19
16,"Nils Politt","GER",76,19
17,"Neilson Powless","USA",73,19
18,"Alberto Bettiol","ITA",72,19
19,"Taco Van Der Hoorn","NED",65,19
20,"Simon Geschke","GER",60,19
21,"Luis Leon Sanchez","ESP",59,19
22,"Danny Van Poppel","NED",54,19
23,"Nairo Quintana","COL",53,19
24,"Alexander Vlasov","RUS",53,19
25,"Thibaut Pinot","FRA",53,19
26,"Romain Bardet","FRA",52,19
27,"Benjamin Thomas","FRA",52,19
28,"Edvald Boasson Hagen","NOR",52,19
29,"Filippo Ganna","ITA",52,19
30,"Thomas Pidcock","GBR",51,19
31,"Nicholas Schultz","AUS",51,19
32,"Alberto Dainese","ITA",50,19
33,"Stefan Küng","SWI",48,19
34,"Luca Mozzato","ITA",47,19
35,"Bob Jungels","LUX",46,19
36,"Mikkel Honore","DEN",45,19
37,"Louis Meintjes","RSA",44,19
38,"Dylan Teuns","BEL",42,19
39,"Andreas Lorentz Kron","DEN",42,19
40,"Caleb Ewan","AUS",42,19
41,"Adam Yates","GBR",41,19
42,"Florian Senechal","FRA",41,19
43,"Hugo Hofstetter","FRA",39,19
44,"Alexander Kristoff","NOR",39,19
45,"Patrick Konrad","AUT",33,19
46,"Valentin Madouas","FRA",31,19
47,"Anthony Perez","FRA",30,19
48,"Alexey Lutsenko","KAZ",29,19
49,"Michael Storer","AUS",29,19
50,"Amaury Capiot","BEL",29,19
51,"Felix Grossschartner","AUT",28,19
52,"Matej Mohoric","SLO",28,19
53,"Daniel Martinez","COL",27,19
54,"Giulio Ciccone","ITA",27,19
55,"Michael Woods","CAN",26,19
56,"Stan Dewulf","BEL",26,19
57,"Jasper Stuyven","BEL",26,19
58,"Kobe Goossens","BEL",25,19
59,"Philippe Gilbert","BEL",25,19
60,"Alexis Gougeard","FRA",25,19
61,"Christopher Juul Jensen","DEN",25,19
62,"Sven Erik Bystrøm","NOR",24,19
63,"Jérémy Lecroq","FRA",24,19
64,"Dylan Van Baarle","NED",23,19
65,"Nathan van Hooydonck","BEL",23,19
66,"Brent Van Moer","BEL",23,19
67,"Yves Lampaert","BEL",22,19
68,"Quinn Simmons","USA",22,19
69,"Sepp Kuss","USA",22,19
70,"Brandon McNulty","USA",22,19
71,"Pierre-Roger Latour","FRA",22,19
72,"Andrea Pasqualon","ITA",21,19
73,"Nils Eekhoff","NED",20,19
74,"Edward Planckaert","BEL",20,19
75,"Rigoberto Uran","COL",19,19
76,"Carlos Verona","ESP",19,19
77,"Frederik Frison","BEL",19,19
78,"Tony Gallopin","FRA",18,19
79,"Nelson Oliveira","POR",18,19
80,"Marco Haller","AUT",18,19
81,"Georg Zimmermann","GER",17,19
82,"Jonathan Castroviejo","ESP",17,19
83,"Krists Neilands","LAT",17,19
84,"Tiesj Benoot","BEL",16,19
85,"Benoit Cosnefroy","FRA",16,19
86,"Guillaume Van Keirsbulck","BEL",16,19
87,"Maximilian Schachmann","GER",15,19
88,"Matis Louvel","FRA",15,19
89,"Cyril Barthe","FRA",15,19
90,"Mattia Cattaneo","ITA",15,19
91,"Jack Bauer","NZL",15,19
92,"Mikkel Bjerg","DEN",14,19
93,"Gregor Mühlberger","AUT",13,19
94,"Sebastian Schönberger","AUT",13,19
95,"Alexander Krieger","GER",13,19
96,"Florian Vermeersch","BEL",13,19
97,"Guy Niv","ISR",12,19
98,"Andreas Leknessund","NOR",11,19
99,"Maxime Bouet","FRA",11,19
100,"Jan Tratnik","SLO",11,19
101,"Gorka Izagirre","ESP",9,19
102,"Silvan Dillier","SWI",9,19
103,"Mathieu Burgaudeau","FRA",8,19
104,"Luka Mezgec","SLO",8,19
105,"Adrien Petit","FRA",8,19
106,"Reinardt Janse Van Rensburg","RSA",8,19
107,"Bauke Mollema","NED",7,19
108,"Franck Bonnamour","FRA",7,19
109,"Chris Hamilton","AUS",6,19
110,"Ion Izagirre","ESP",6,19
111,"Jonas Rutsch","GER",6,19
112,"Simone Velasco","ITA",5,19
113,"Pierre-Luc Perichon","FRA",4,19
114,"Anthony Turgis","FRA",4,19
115,"Joseph Lloyd Dombrowski","USA",3,19
116,"Kévin Geniets","LUX",3,19
117,"Connor Swift","GBR",3,19
118,"Stefan Bissegger","SWI",3,19
119,"Owain Doull","GBR",3,19
120,"Cyril Lemoine","FRA",3,19
121,"Maciej Bodnar","POL",2,19
122,"Marc Hirschi","SWI",1,19
1,"Wout Van Aert","BEL",60,2
2,"Fabio Jakobsen","NED",59,2
3,"Mads Pedersen","DEN",30,2
4,"Peter Sagan","SVK",25,2
5,"Yves Lampaert","BEL",22,2
6,"Magnus Cort Nielsen","DEN",22,2
7,"Sven Erik Bystrøm","NOR",20,2
8,"Jérémy Lecroq","FRA",20,2
9,"Caleb Ewan","AUS",19,2
10,"Danny Van Poppel","NED",18,2
11,"Jasper Philipsen","BEL",16,2
12,"Tadej Pogacar","SLO",15,2
13,"Filippo Ganna","ITA",13,2
14,"Mathieu Van Der Poel","NED",11,2
15,"Christophe Laporte","FRA",10,2
16,"Dylan Groenewegen","NED",10,2
17,"Jonas Vingegaard","DEN",9,2
18,"Primoz Roglic","SLO",8,2
19,"Luca Mozzato","ITA",8,2
20,"Bauke Mollema","NED",7,2
21,"Stefan Küng","SWI",7,2
22,"Maximilian Walscheid","GER",7,2
23,"Michael Morkov","DEN",7,2
24,"Hugo Hofstetter","FRA",7,2
25,"Dylan Teuns","BEL",6,2
26,"Edvald Boasson Hagen","NOR",6,2
27,"Alexander Kristoff","NOR",6,2
28,"Bob Jungels","LUX",4,2
29,"Jasper Stuyven","BEL",4,2
30,"David Gaudu","FRA",4,2
31,"Adam Yates","GBR",3,2
32,"Kévin Geniets","LUX",3,2
33,"Thomas Pidcock","GBR",1,2
NA,NA,NA,NA,2
1,"Wout Van Aert","BEL",480,20
2,"Tadej Pogacar","SLO",250,20
3,"Jasper Philipsen","BEL",236,20
4,"Christophe Laporte","FRA",171,20
5,"Mads Pedersen","DEN",158,20
6,"Jonas Vingegaard","DEN",157,20
7,"Fabio Jakobsen","NED",155,20
8,"Michael Matthews","AUS",133,20
9,"Peter Sagan","SVK",104,20
10,"Geraint Thomas","GBR",98,20
11,"Fred Wright","GBR",91,20
12,"Dylan Groenewegen","NED",86,20
13,"Hugo Houle","CAN",82,20
14,"Matteo Jorgenson","USA",82,20
15,"David Gaudu","FRA",81,20
16,"Nils Politt","GER",80,20
17,"Alberto Bettiol","ITA",74,20
18,"Neilson Powless","USA",73,20
19,"Taco Van Der Hoorn","NED",65,20
20,"Filippo Ganna","ITA",63,20
21,"Simon Geschke","GER",60,20
22,"Luis Leon Sanchez","ESP",59,20
23,"Danny Van Poppel","NED",54,20
24,"Alexander Vlasov","RUS",53,20
25,"Nairo Quintana","COL",53,20
26,"Thibaut Pinot","FRA",53,20
27,"Stefan Küng","SWI",53,20
28,"Romain Bardet","FRA",52,20
29,"Benjamin Thomas","FRA",52,20
30,"Edvald Boasson Hagen","NOR",52,20
31,"Thomas Pidcock","GBR",51,20
32,"Nicholas Schultz","AUS",51,20
33,"Alberto Dainese","ITA",50,20
34,"Luca Mozzato","ITA",47,20
35,"Bob Jungels","LUX",46,20
36,"Mikkel Honore","DEN",45,20
37,"Louis Meintjes","RSA",44,20
38,"Dylan Teuns","BEL",42,20
39,"Andreas Lorentz Kron","DEN",42,20
40,"Caleb Ewan","AUS",42,20
41,"Adam Yates","GBR",41,20
42,"Florian Senechal","FRA",41,20
43,"Hugo Hofstetter","FRA",39,20
44,"Alexander Kristoff","NOR",39,20
45,"Patrick Konrad","AUT",33,20
46,"Valentin Madouas","FRA",31,20
47,"Anthony Perez","FRA",30,20
48,"Alexey Lutsenko","KAZ",29,20
49,"Michael Storer","AUS",29,20
50,"Amaury Capiot","BEL",29,20
51,"Felix Grossschartner","AUT",28,20
52,"Matej Mohoric","SLO",28,20
53,"Daniel Martinez","COL",27,20
54,"Giulio Ciccone","ITA",27,20
55,"Michael Woods","CAN",26,20
56,"Stan Dewulf","BEL",26,20
57,"Jasper Stuyven","BEL",26,20
58,"Kobe Goossens","BEL",25,20
59,"Philippe Gilbert","BEL",25,20
60,"Alexis Gougeard","FRA",25,20
61,"Christopher Juul Jensen","DEN",25,20
62,"Sven Erik Bystrøm","NOR",24,20
63,"Dylan Van Baarle","NED",24,20
64,"Mattia Cattaneo","ITA",24,20
65,"Jérémy Lecroq","FRA",24,20
66,"Brent Van Moer","BEL",23,20
67,"Yves Lampaert","BEL",22,20
68,"Quinn Simmons","USA",22,20
69,"Sepp Kuss","USA",22,20
70,"Brandon McNulty","USA",22,20
71,"Maximilian Schachmann","GER",22,20
72,"Pierre-Roger Latour","FRA",22,20
73,"Andrea Pasqualon","ITA",21,20
74,"Nils Eekhoff","NED",20,20
75,"Edward Planckaert","BEL",20,20
76,"Rigoberto Uran","COL",19,20
77,"Carlos Verona","ESP",19,20
78,"Frederik Frison","BEL",19,20
79,"Tony Gallopin","FRA",18,20
80,"Nelson Oliveira","POR",18,20
81,"Marco Haller","AUT",18,20
82,"Bauke Mollema","NED",17,20
83,"Georg Zimmermann","GER",17,20
84,"Jonathan Castroviejo","ESP",17,20
85,"Jan Tratnik","SLO",17,20
86,"Krists Neilands","LAT",17,20
87,"Mikkel Bjerg","DEN",17,20
88,"Tiesj Benoot","BEL",16,20
89,"Benoit Cosnefroy","FRA",16,20
90,"Guillaume Van Keirsbulck","BEL",16,20
91,"Matis Louvel","FRA",15,20
92,"Cyril Barthe","FRA",15,20
93,"Jack Bauer","NZL",15,20
94,"Gregor Mühlberger","AUT",13,20
95,"Sebastian Schönberger","AUT",13,20
96,"Alexander Krieger","GER",13,20
97,"Florian Vermeersch","BEL",13,20
98,"Guy Niv","ISR",12,20
99,"Andreas Leknessund","NOR",11,20
100,"Maxime Bouet","FRA",11,20
101,"Gorka Izagirre","ESP",9,20
102,"Silvan Dillier","SWI",9,20
103,"Mathieu Burgaudeau","FRA",8,20
104,"Luka Mezgec","SLO",8,20
105,"Adrien Petit","FRA",8,20
106,"Reinardt Janse Van Rensburg","RSA",8,20
107,"Franck Bonnamour","FRA",7,20
108,"Chris Hamilton","AUS",6,20
109,"Ion Izagirre","ESP",6,20
110,"Jonas Rutsch","GER",6,20
111,"Simone Velasco","ITA",5,20
112,"Pierre-Luc Perichon","FRA",4,20
113,"Anthony Turgis","FRA",4,20
114,"Joseph Lloyd Dombrowski","USA",3,20
115,"Kévin Geniets","LUX",3,20
116,"Connor Swift","GBR",3,20
